Título,Semilla,Estado,Frecuencia,Tamaño,Palabras_clave,Materia
IES La Caleta (Cádiz),http://www.juntadeandalucia.es/averroes/centros-tic/11700287/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Ciudad de Hércules (Chiclana de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700354/helvia/sitio/index.cgi,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES José Luis Tejada Peluffo (EL Puerto de Santa María, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700445/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Juan Sebastián Elcano (Sanlúcar de Barrameda, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700615/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES La Loma (Villamartín, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700743/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Antonio de la Torre (EL Puerto de Santa María, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700822/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Las Banderas (El Puerto de Santa María, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700834/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES La Campiña (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11701000/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES San Telmo (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11701115/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Fernando Quiñones (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11701139/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Sofía (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11701140/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP San Carlos Borromeo (Fuente Ovejuna, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/14003681/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
Archivo Histórico Provincial de Cádiz,http://www.juntadeandalucia.es/cultura/archivos/ahpcadiz,Activa,Semestral,Mediano,Archivos históricos / Instituciones culturales / Cádiz,Archivística
"Gotera de Lazotea (Jerez de la Frontera, Cádiz)",http://www.lagoteradelazotea.es/web/,Activa,Semestral,Pequeno,Teatro de títeres / Compañías teatrales / Cádiz,Arte
"Vinos de Cádiz, Los (Cádiz)",http://www.losvinosdecadiz.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Asociación Astronómica Luz Cero (Campo de Gibraltar, Cádiz)",http://www.luz-cero.es,Activa,Semestral,Pequeno,Astronomía / Asociación / Cádiz,Astronomía
"CEIP Maestra Caridad Ruiz (Sanlúcar de Barrameda, Cádiz))",http://www.maestracaridadruiz.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Bodega El Maestro Sierra (Jerez de la Frontera, Cádiz)",http://www.maestrosierra.com/inicio/,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Alimentaria
Coro de Cámara Nova Mvsica (Cádiz),http://www.novamvsica.com,Activa,Anual,Mediano,Música coral / Coros / Asociaciones / Cádiz,Música
"Orfeón Portuense (Puerto de Santa María, Cádiz)",http://www.orfeonportuense.com,Activa,Anual,Mediano,Música coral / Coros / Asociaciones / Cádiz,Música
Asociación de  Productores de Queso de  Sierra de Cádiz Quesica,http://www.quesosierradecadiz.com,Activa,Anual,Mediano,Quesos / Industria alimentaria / Cádiz,Alimentaria
Real Academia de Medicina y Cirugía de Cádiz,http://www.ramca.es,Activa,Semestral,Pequeno,Medicina / Cirugía / Instituciones científicas / Cádiz,Medicina
Ayuntamiento de San Fernando (Cádiz),http://www.sanfernando.es/ayto/,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Cádiz,Administración
"IES Torre Almirante (Algeciras, Cádiz)",http://www.torrealmirante.net/extranet/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Bodegas Urium (Jerez de la Frontera, Cádiz)",http://www.urium.es/es/,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Wint &Lila (Puerto de Santa María, Cádiz)",http://www.wintlila.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
8Cádiz,https://8cadiz.es,Activa,Semanal,Pequeno,Medios de comunicación social / Televisión / Cádiz / Andalucía,Prensa
"CEIP Ntra. Sra. del Rosario (El Gastor, Cádiz)",https://accounts.google.com/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path%3D/nsrelgastor&followup=https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path%3D/nsrelgastor,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Maestra Áurea López (Barbate, Cádiz)",https://aureaschool.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Abardela (Benaocaz, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipabardela/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Al-Ándalus (Chiclana de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipalandaluschiclana/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Al Ándalus (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipalandalusjerez/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Alfonso XI (Algeciras, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipalfonsoxi/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Arquitecto Leoz (San Fernando, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiparquitectoleoz/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP La Atlántida (Chiclana de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipatlantida/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Blas Infante (Sanlúcar de Barrameda, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipblasinfantesanlucardebarrameda/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Buenos Aires (La Línea de la Concepción, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipbuenosaires/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Campo del Sur (Cádiz),https://blogsaverroes.juntadeandalucia.es/ceipcampodelsur/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Casería de Ossio (San Fernando, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipcaseriadeossio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Ciudad de Jerez (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipciudaddejerez/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Cristo Rey (Jimena de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipcristoreysanpablo/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP El Juncal (El Puerto de Santa María, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipeljuncal/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Estrella del Mar (Barbate, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipestrelladelmar/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP José Luis Sánchez (Jimena de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipjoseluissanchez/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP José de la Vega Barrios (Chiclana de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipjosevegabarrios/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Juan XXIII (Barbate, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipjuan23barbate/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP La Alcazaba (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiplaalcazaba/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP La Barrosa (Chiclana de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiplabarrosachiclana/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP La Florida (El Puerto de Santa María, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiplaflorida/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP La Inmaculada (Cádiz),https://blogsaverroes.juntadeandalucia.es/ceiplainmaculada/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Las Albinas (Chiclana de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiplasalbinas/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP La Unión (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiplaunion/informacion/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Lomopardo (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiplomopardo/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Manuel de Falla (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipmanueldefalla/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Profesor Gálvez (Villaluenga del Rosario, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipprofesorgalvez/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Ramón Crossa (Ubrique, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipramoncrossa/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Reyes Católicos (Cádiz),https://blogsaverroes.juntadeandalucia.es/ceipreyescatolicos/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Sagrado Corazón de Jesús (El Puerto de Santa María, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipsagradocorazondejesus/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Sancti Petri (Chiclana de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipsanctipetri/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP San Isidro Labrador (Fuente Palmera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipsanisidrolabrador/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP San José Obrero (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipsanjoseobrero/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Santa Rita (San Roque, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipsantarita/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Tartessos (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiptartessos/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Tierno Galván (Castellar de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiptiernogalvan/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Profesor Tierno Galván (Cádiz),https://blogsaverroes.juntadeandalucia.es/ceiptiernogalvancadiz/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Profesor Tierno Galván (Chiclana de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiptiernogalvanchiclana/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Velada (La Línea de la Concepción, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipvelada/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Virgen del Carmen (Setenil de las Bodegas, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipvirgendelcarmensetenil/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP San Isidro Labrador (Bornos, Cádiz)",https://blogsaverroes.juntadeandalucia.es/colecotodebornos/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Princesa Sofía (Sanlúcar de Barrameda, Cádiz)",https://blogsaverroes.juntadeandalucia.es/colegioprincesasofia/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Juan Armario (Alcalá de los Gazules, Cádiz)",https://blogsaverroes.juntadeandalucia.es/colejuanarmario/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES García Lorca (Algeciras, Cádiz)",https://blogsaverroes.juntadeandalucia.es/garcialorcalgeciras/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Almadraba (Tarifa, Cádiz)",https://blogsaverroes.juntadeandalucia.es/iesalmadraba/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Blas Infante (San Fernando, Cádiz)",https://blogsaverroes.juntadeandalucia.es/iesblasinfante/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Botánico (Sanlúcar de Barrameda, Cádiz)",https://blogsaverroes.juntadeandalucia.es/iesbotanicosanlucar/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES José M. Caballero Bonald (Jerez dela Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/iescaballerobonald/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Castillo de Tempul (San José del Valle, Cádiz)",https://blogsaverroes.juntadeandalucia.es/iescastillodetempul/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Doctora Josefa de los Reyes (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/iesdoctorajosefadelosreyes/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES La Algaida (Puerto Real, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ieslaalgaida/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES La Bahía (San Fernando, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ieslabahia/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES La Granja (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ieslagranja/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES La Jarcia (Puerto Real, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ieslajarcia/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Las Palomas (Algeciras, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ieslaspalomas/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Los Molinos (Conil de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ieslosmolinosconil/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Mar del Sur (San Roque, Cádiz)",https://blogsaverroes.juntadeandalucia.es/iesmardelsur/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Villa de Setenil (Setenil de las Bodegas, Cádiz)",https://blogsaverroes.juntadeandalucia.es/iesvilladesetenil/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Reyes Católicos (Puerto Real, Cádiz)",https://blogsaverroes.juntadeandalucia.es/reyescatolicospuertoreal/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP San Juan de Dios (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/sanjuandediosjerez/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Tomasa Pinilla (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/tomasapinilla/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP El Trovador (Chiclana de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/trovador/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Bodegas Primitivo Collantes (Chiclana de la Frontera, Cádiz)",https://bodegaprimitivocollantes.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas Alonso (Sanlúcar de Barrameda, Cádiz)",https://bodegasalonso.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Alimentaria
"Bodegas Dios Baco (Jerez de la Frontera, Cádiz)",https://bodegasdiosbaco.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas El Gato (Rota, Cádiz)",https://bodegaselgato.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas Faustino González (Jerez de la Frontera, Cádiz)",https://bodegasfaustinogonzalez.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas Hidalgo-La Gitana (Sanlúcar de Barrameda, Cádiz)",https://bodegashidalgolagitana.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
Bodegas Rivero (Prado del Rey (Cádiz),https://bodegas-rivero.ueniweb.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas Tradición (Jerez de la Frontera, Cádiz)",https://bodegastradicion.es/es/,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas Yuste (Sanlúcar de Barrameda, Cádiz)",https://bodegasyuste.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Tesalia (Arcos de la Frontera, Cádiz)",https://bodegatesalia.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"CEIP Escuelas Verdes (Puerto Serrano, Cádiz)",https://bolicheros.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Caballero (Puerto de Santa María, Cádiz)",https://caballero.es,Activa,Anual,Mediano,Vinos / Ponche / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Destilerías Pico (Puerto de Santa María, Cádiz)",https://cacaopico.es,Activa,Anual,Mediano,Licores / Industria de las bebidas / Cádiz,Bebidas
Colegio Oficial de Agentes Comerciales de Cádiz,https://cadiz.cgac.es,Activa,Semestral,Pequeno,Economía / Comercio / Agentes comerciales / Asociaciones / Cádiz,Economía
Cádiz buenas noticias,https://cadizbuenasnoticias.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Cádiz / Andalucía,Prensa
"Cerveza Volaera (Puerto de Santa María, Cádiz)",https://caletera.com,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Cádiz,Bebidas
CEIP Carola Ribed (Cádiz),https://carolaribed.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Pedro Antonio de Alarcón (Rota, Cádiz)",https://ceipalarconrota.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Andalucía (Cádiz)
Ahora se llama CEIP Juan Carlos Aragón (Cádiz)",https://ceipandalucia.es.tl/El-Colegio.htm,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Antonio Machado (Medina-Sidonia, Cádiz)",https://c-e-i-p-antonio-machado.webnode.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Los Bateles (Conil de la Frontera, Cádiz)",https://ceipbateles.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Caetaria (Algeciras, Cádiz)",https://ceip-caetaria.webnode.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Gadir (Cádiz),https://ceipgadir.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Guadaluz (Jerez de la Frontera, Cádiz)",https://ceipguadaluz.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Las Cortes (San Fernando, Cádiz)",https://ceiplascortes.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Puente Zuazo (San Fernando, Cádiz)",https://ceippuentezuazo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP San Bernardo (San Roque, Cádiz)",https://ceipsanbernardo.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Santa Teresa de Jesús (Algeciras, Cádiz)",https://ceipsantateresalgeciras.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Torrevieja (Villamartín, Cádiz)",https://ceiptorrevieja.es.tl,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Consorcio de Transportes Bahía de Cádiz,https://cmtbc.es,Activa,Anual,Mediano,Transportes / Organismos administrativos / Cádiz,Transporte
Cofradía de la Sentencia (Cádiz),https://cofradiasentenciacadiz.wordpress.com,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Cádiz,Religión
"CEIP Alfonso X El Sabio (Jerez de la Frontera, Cádiz)",https://colegioalfonsoxjerez.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP José Celestino Mutis (Cádiz),https://colegiocelestinomutis.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Inmaculada Concepción (La Línea de la Concepción Cádiz),https://coleinmaculada11.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Colegio Oficial de Médicos de Cádiz,https://comcadiz.es,Activa,Semestral,Pequeno,Medicina / Médicos / Asociaciones / Cádiz,Medicina
Conservatorio Profesional de Danza de Cádiz Maribel Gallardo,https://conservatoriodanzacadiz.es,Activa,Semestral,Pequeno,Danza / Centros docentes / Conservatorios / Educación / Cádiz,Arte
Real Conservatorio Profesional de Música Manuel de Falla de Cádiz,https://conservatoriomanueldefalla.es,Activa,Semestral,Mediano,Música / Educación / Conservatorios / Centros docentes / Cádiz,Música
Coral Polifónica “Isla Cristina” (Cádiz),https://coral-islacristina.wixsite.com/inicio,Activa,Anual,Mediano,Música coral / Coros / Asociaciones / Cádiz,Música
Corporación de noticias Cádiz,https://corporacionnoticias.es/cadiz-acelera-el-ritmo-de-la-campana-para-vacunar-a-treintaneros-en-julio/,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Cádiz / Andalucía,Prensa
"CEIP Los Cortijillos (Los Barrios, Cádiz)",https://cortijillos.weebly.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Cooperativa del Campo Vitivinícola Sanluqueña (Sanlúcar de Barrameda (Cádiz),https://covisan.net,Activa,Anual,Mediano,Vinos / Industrias de las bebidas / Cooperativas / Cádiz,Bebidas
Colegio Oficial de Dentistas de Cádiz,https://dentistascadiz.com,Activa,Semestral,Pequeno,Medicina / Dentistas / Asociaciones / Cádiz,Medicina
"Destraperlo comando cervecero(Jerez de la Frontera, Cádiz)",https://destraperlo-comando-cervecero.negocio.site,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Cádiz,Bebidas
"Bodegas y Viñedos Diez Mérito (Jerez de la Frontera, Cádiz)",https://diezmerito.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
Eduardo Guerrero (Cádiz),https://eduardo-guerrero.com/es_es/home/,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Cádiz,Arte
Efesto Teatro (Cádiz),https://efestoteatro.blogspot.com,Activa,Semestral,Pequeno,Teatro / Danza / Compañías teatrales / Cádiz,Arte
"CEIP El Colorado (Conil de la Frontera, Cádiz)",https://elcoloradoceip.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Federación de Cofradías de Pescadores de Cádiz (FECOPESCA),https://fecopesca.com,Activa,Anual,Mediano,Pesca / Cofradías de pescadores / Asociaciones / Cádiz,Caza
Festival Iberoamericano de Teatro de Cádiz,https://fitdecadiz.org,Activa,Semestral,Pequeno,Teatro / Festivales / Cádiz,Arte
"Harveys (Jerez de la Frontera, Cádiz)",https://harveys.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas Argüeso (Sanlúcar de Barrameda, Cádiz)",https://herederosdeargueso.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Emilio Hidalgo (Jerez de la Frontera, Cádiz)",https://hidalgo.com,Activa,Anual,Mediano,Vinos / Bodegas / Industrias de las bebidas / Cádiz,Bebidas
Hospital Universitario Puerta del Mar (Cádiz),https://hospitalpuertadelmar.com,Activa,Semestral,Pequeno,Hospitales / Servicios de salud / Medicina / Cádiz,Salud pública
Ilustre Colegio de Abogados de Cádiz,https://icadiz.org,Activa,Semestral,Pequeno,Derecho / Abogados / Asociaciones / Cádiz,Derecho
"IES Alvar Núñez (Jerez de la Frontera, Cádiz)",https://iesalvarnunez.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Antonio Machado (La Linea de la Concepción, Cádiz)",https://iesantoniomachado.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES La Arboleda (El Puerto de Santa María, Cádiz)",https://iesarboleda13.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Astaroth (Rota, Cádiz)",https://iesastaroth.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Carlos Castilla del Pino (San Roque, Cádiz)",https://iescarloscastilla.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Ciudad de Algeciras (Algeciras, Cádiz)",https://iesciudadalgeciras.wixsite.com/algeciras,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
IES Columela (Cádiz),https://iescolumela.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Doñana (Sanlúcar de Barrameda, Cádiz)",https://iesdonana.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES El Getares (Algeciras, Cádiz)",https://ieselgetares.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
